Username,User Age,User Skin Condition,Recommendation Status,Usage Period,Purchase Point,Product Brand,Product Name,Product Rating,Total Users Rated,User Review
debbieserafina15, 25 - 29,"Combination, Light, Cool",debbieserafina15 recommends this product!,More than 1 year,Shopee,Syca,Lip Tint,4.5,122,"Definitely a must have! Warnanya natural banget di bibir, texture gel ringan dan gak bikin kering. It does not last super long, karna biasa yang last very long akan bikin bibir kering. Bukan warna ini aja sih yang bagus, tangerine orange is also a must have to me."
myskinssake, 19 - 24,"Combination, Medium Dark, Warm",myskinssake recommends this product!,3 months - 6 months,Sociolla,Senka,Perfect Whip,4.3,224,"Facial foam ini dikemas dalam tube dengan tutup flip-top, bernuansa perpaduan warna pink sakura dan putih. Tekstur facial foam ini creamy. Foam-nya sendiri termasuk rich dan dense, bukan tipe yang foam light dan 'kosong', tetapi padat gitu. Dalam sekali pemakaian, cukup ... "
syafirayumna, 19 - 24,"Oily, Medium Light, Neutral",syafirayumna recommends this product!,3 months - 6 months,Official Brand Store,The Body Shop,THE BODY SHOP HIMALAYAN CHARCOAL,4.5,118,"awal beli ini karena waktu itu dapet harga big deal, kalo gasalah harusnya 300+ tapi kalo beli dua jadi 260/pcs terus aku sama adiknya pacar aku memutuskan untuk membeli ini dan surprisingly bagus bangettt nangis. pas pake ini aku inget inget ini mirip masker apa ya dan ... "
rabbittu, 25 - 29,"Combination, Medium Light, Warm",rabbittu recommends this product!,More than 1 year,FD Try and Review,Wardah,Nature Daily Aloe Hydramild Multifunction Gel,3.2,5158,udah pake produk ini sejak jaman SMA. ya seperti aloe2 pd umumnya dia hydrating dan ga ada kelebihan lain dr produk ini. pas dipake lumayan dingin tp untuk ukuran gel dia lumayan lama meresapnya. aku pake ini krn packagingnya tube jd lebih travel friendly. selebihnya si ... 
debbieserafina15, 25 - 29,"Combination, Light, Cool",debbieserafina15 recommends this product!,More than 1 year,Beauty Studio,Jarte Beauty,Face Cleansing Brush,4.9,16,"Bagus banget sih ini! Local cleansing tool yang sangat affordable dan efektif, buat yang mau coba, jangan langsung pakai setiap hari, takut nya kulit kalian sensitif, start with 2x a week dan naikin pelan"", kalau aku pake 2 hari sekali cukup dan ngefek banget untuk  ... "
listyameliaa,19 - 24,,listyameliaa recommends this product!,1 week - 1 month,Shopee,Azarine Cosmetics,Anti Acne & Brightening Serum,4.8,198,"aaa beruntung banget nemuin produk ini😻 murah bgt tapi manfaat nya gakmurahan💟 luvv bgt pokonya kalo habis pen beli lg ah 😻 gangerti lagi sih kenapa produk sebagus ini tp harga nya murah banget , sukses terus ya azarine product😻 favorite banget"
femdayt, 25 - 29,"Oily, Medium Dark, Warm",femdayt recommends this product!,3 months - 6 months,Shopee,Himalaya,Purifying Neem Mask,4.2,5991,"murah, isinya banyak dan mudah didapat. aromanya seperti aroma daun herbal, agak ganggu sih tapi masi bisalah diterima, aku cuma make ini ditotol tebal tebal dibagian kulit yang sedang berjerawat atau muncul bruntusan dan efeknya setelah kurang lebih 3 kali totol jerawa ... "
fzndrtk, 19 - 24,"Combination, Medium Light, Warm",fzndrtk recommends this product!,Less than 1 week,FD Try and Review,Pucelle,Audacity Le Parfum,4.6,18,"V for Valorous, aku ngerasa wanginya lebih maskulin kearah tegas. Cocok untuk para pekerja gituu, tetap ada aroma manis dan fresh cuman untuk yang V ini dia berbeda sama G & A. Tetap enak tapi kalau untuk girly, varian V ini kurang cocok. Kemasan oke banget dan harg ... "
Melanieaulia,19 - 24,,Melanieaulia recommends this product!,Less than 1 week,Facebook,L'Oreal Paris,UV Defender Bright & Clear,4.9,420,"Kemasannya lucu, Isinya 50ml lumayan banyak menurutku, dapat ini dari Woop Indonesia
Aku pakai yang bright and clear teksturnya kental, warna putih, lalu saat digunakan langsung terlihat cerah banget, aku seneng pakai karena nggak bikin efek jerawat dll di kulit aku, pa ... "
Irsanisaa,18 and Under,,Irsanisaa doesn't recommend this product!,Less than 1 week,Ranch/Farmer's Market,Sariayu,Sariayu anti acne facial foam,4.1,10,"Pertama kali pake ini, awalnya nyaman. Cegah jerawat, terus enggak ketarik juga pas udah pake. Tapi lama kelamaan malah bikin bruntusan dimuka parah. Dan mulai bermunculan jerawat lagi. Terus juga muka mengelupas') untuk mencerahkan, enggak ada efek nya. Itu dikulit aku ... "
debbieserafina15, 25 - 29,"Combination, Light, Cool",debbieserafina15 recommends this product!,3 months - 6 months,Sephora,Kenzo,Flower,4.1,194,"Untuk pecinta aroma floral, this is a must have! Baunya seger enak banget, kayak bau yang mahal dan classy, tapi gak terlalu overpowering. Available dengan beberapa sizes juga, jadi kalau mau coba bisa beli yang kecil dulu."
myskinssake, 19 - 24,"Combination, Medium Dark, Warm",myskinssake recommends this product!,1 week - 1 month,Gift,DATGLOW SKIN,Serum Brightening,4.8,64,"Serum ini dikemas dalam box berwarna ungu-putih, beserta tube ramping berbahan kaca tebal. Tube-nya beraksen doff, sehingga memudahkan kita untuk melihat sisa produk di dalamnya. Tutupnya secure, dropper-nya juga lancar ketika mengambil serumnya. Packaging-nya travel fr ... "
anandadppl, 25 - 29,"Normal, Medium Light, Neutral",anandadppl recommends this product!,Less than 1 week,Shopee,Natur,Brightening Hydrating Toner,5,1,"brightening hydrating toner ini tuh mengandung vitamin C dan Sour Lime yang bagus banget buat mencerahkan kulit, memudarkan bekas jerawat, drak spot. packingnya elegan banget terbuat dari kaca. teksturnya juga ringan dan tidak cair seperti air"
Zulfaa_Kh, 19 - 24,"Combination, Medium, Neutral",Zulfaa_Kh recommends this product!,1 week - 1 month,Sample,Lancome,Clarifique Dual Essence,4.8,94,"Duh pusing, ga ngerti lagi deh sama Lancome. Produk-produknya selalu bagus dan it works on me😭. Harga asli memang mahal tapi hasilnya emang bagus banget. Pertama kali pakai essens ini langsung jatuh cinta, karena sebagai essens melembapkan dan menghidrasinya pas banget ... "
chyntiats,19 - 24,,chyntiats doesn't recommend this product!,Less than 1 week,Shopee,Somethinc,Niacinamide + Moisture Beet Serum,4.2,3106,"[PRELOVED] baru dipake 3 hari jerawat mulai ngisi lagi, lama banget ngeresepnya, muka jadi berminyak banget apalagi waktu bangun tidur jadi makin parah minyakannya. Isi masih 95% beli 89k jual 75k. Lokasi tangerang kota bisa WA 085159559840"
nblsalsabilla, 19 - 24,"Combination, Medium Light, Warm",nblsalsabilla recommends this product!,More than 1 year,Traditional market,Hada Labo,Shirojyun Ultimate Whitening Lotion,3.8,1233,"untuk efek putihnya si emang ga cepet ya, aku uda pake setahunan baru keliatan efek putihnya tp bukan putih aneh gtu lebih ke bersih sih. aga lengket tp aku tetep suka karna emang bagusss 🖤👍🏻 dipake sebelum bedakan sm mau tidur. pake ini bikin kulitku sehattt bgt ken ... "
Villeplum, 25 - 29,"Combination, Medium Light, Neutral",Villeplum recommends this product!,1 week - 1 month,Shopee,Pratista,Hyalu Hydrating Toner,5,809,"Aaaaa suka banget deh sama toner ini , bener2 bukan sekedar toner doank atau tagline aja yang bilang rasa serum. Tapi beneran kaya serum . Jadi dia bikin moist, seger gt, bantu banget obatin jerawat aku dan dipakai gak lengket sama sekali padahal tekstur mirip gel lebih ... "
fazha30, 19 - 24,"Oily, Medium Light, Neutral",fazha30 doesn't recommend this product!,Less than 1 week,Shopee,Emina,Aqua Infused Sleeping Mask,4.1,614,"aku cobain produk ini karena aku udah sayang banget sama ss emina, berharap bisa sayang ke dia juga, aku suka packaging nya, warna biru muda cantik banget, tekstur produk ini juga enak, mudah diratakan, baunya paling menggoda, bau melon yang beber"" seger 🤤 tapi say ... "
myskinssake, 19 - 24,"Combination, Medium Dark, Warm",myskinssake recommends this product!,6 months - 1 year,Guardian,Emina,Beauty Bliss BB Cream,4,567,"Tekstur dari BB cream ini creamy, konsistensinya cukup encer, namun dalam takaran yang pas karena tidak sampai runny hingga susah mengaplikasinya. Menurutku, BB cream ini paling enak kalau diaplikasikan dengan menggunakan sponge karena hasilnya lebih rata. Untuk baunya  ... "
binomialnomenklatur, 25 - 29,"Oily, Medium Light, Neutral",binomialnomenklatur recommends this product!,1 week - 1 month,FD Try and Review,Erha ,Acne Spot Gel,4.1,364,"Acne spot pertama setelah 2 tahunan. Packaging slim, cuma tiap mau pake terus open lid, gelnya selalu keluar sendiri tanpa ada tekanan gitu. Untung lobangnya kecil jadi ga banyak wastefull. Kebetulan pas paket dateng, gue punya 1 pustul + 1 pastule. Untuk yg pustul kera ... "
rann_syah, 18 and Under,"Combination, Medium, Neutral",rann_syah recommends this product!,Less than 1 week,Gift,Azarine Cosmetics,Acne Spot Gel,4.7,176,"pake serum acne gel ini,bikin menghilangkan jerawat aku yg ada dihidung berminggu-minggu dalam 3 hari langsung kempes,recomen bannget buat kalian yang pejuang acne dan sensasinya yang dingin dan sejuk pas ditetesin ke muka,syeger tsayyyy"
Zulfaa_Kh, 19 - 24,"Combination, Medium, Neutral",Zulfaa_Kh recommends this product!,1 week - 1 month,Yogya Junction,Wardah,Lightening Face Mist,4.7,9,"Pakai ini harus beberapa kali semprot supaya berasa lembap. Agak boros sih, apalagi ukurannya kecil & isinya sedikit. Harga cukup terjangkau lah dan banyak ditemuin di mana-mana. Sebagai setting spray atau face mist biasa ya bagus-bagus aja. Tapi bagiku masih kurang ... "
Yoshitairmaa, 19 - 24,"Combination, Medium, Warm",Yoshitairmaa recommends this product!,More than 1 year,Official Brand Store,The Body Shop,Red Fixation,4.9,19,"ENAK BANGET BAUNYA, kalau lagi pakai ini jadi kaya cewe elegan gitu, katanya dupe baccarat gitu, baunya agak musky trus ada note safron nya juga, tahan lama dipakai di baju ga bikin kuning, makin lama baunya makin enak, 10/10 bakal repurchase lagi kalau habis"
Tariafd, 18 and Under,"Normal, Medium, Neutral",Tariafd doesn't recommend this product!,1 month - 3 months,Transmart,Skin Aqua,UV Moisture Milk,4.2,7377,"Huhu:( Gak tau kenapa sunscreen ini gak cocok di aku. Pas aku pake di luar ruangan muka aku jadi kusam dan greasy parah:( Padahal isinya masih setengah lagi. Karena sayang, jadinya aku pake untuk di rumah aja, kalau pakenya di dalam ruangan sih gak terlalu greasy."
alfhissaaa01, 19 - 24,"Combination, Medium, Neutral",alfhissaaa01 recommends this product!,1 week - 1 month,Brand website,Azalea,Zaitun Oil With Rosehip Oil,4.7,62,"Menurut aku ini tekstur nya mendingan gitu dari pada zaitun oil merk lain, wanginya juga enak jadi nyaman bngt dipake kapan pun, ini manfaat nya juga banyak bngtt sukaaa❤️ kadang aku sering pake ini di muka tiap malem hohoho, trus juga pake buat apus makeup"
Ikaagstnn, 18 and Under,"Normal, Medium, Neutral",Ikaagstnn recommends this product!,Less than 1 week,Brand website,L'Oreal Paris,UV Defender Bright & Clear,4.9,417,"Karna sunscreen nya ini udah mengandung spf50+ pa+++ sebagus itu dong dimuka sumpah, Apalgi dia sudah mengandung Bright & Clear UV Serum Protector dilengkapi dengan Brightening Niacinamide yang bikin kulit tampak cerah seketika pastinya dan bikin wajah terlindugi da ... "
Dessynurs169, 25 - 29,"Normal, Medium, Neutral",Dessynurs169 recommends this product!,Less than 1 week,Shopee,Azarine Cosmetics,Anti Acne & Brightening Serum,4.8,196,"First time nyobain serum anti acne & brightening. Daebak! Meskipun kulit aku bukan tipe kulit berjerawat tapi serum ini worth it untuk menghempaskan beberapa bruntusan yang ada di dahi, bawah mata dan dagu. Serum ini memiliki kandungan Cinnamon yang bisa mengontrol  ... "
luveliprincess, 30 - 34,"Combination, Medium Light, Neutral",luveliprincess recommends this product!,1 week - 1 month,Shopee,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,351,Jujur aku tuh agak males pake sunscreen karena kulit aku berminyak dan acne prone skin. Tapi sadar karena sunscreen itu penting akhirnya aku coba cari cari product yg aman buat acne prone skin. Dan ketemulah si azarine organic sunscreen ini. Klaimnya dia ringan dan mele ... 
nblsalsabilla, 19 - 24,"Combination, Medium Light, Warm",nblsalsabilla recommends this product!,More than 1 year,Traditional market,Hada Labo,Gokujyun Ultimate Moisturizing Lotion,4.4,4518,produknya hada labo emang jawaraaaa 😭😭👍🏻👍🏻👍🏻👍🏻 beli iseng skrg jadi keterusan karena emang sebagus itu fan cocok di kulit aku jadi keliatan plumpy glowing bagus kenyal gitu sehat kek pipi bayiiiii. cinta bgt pokonya recomen deh 🖤
candri, 19 - 24,"Combination, Medium Dark, Neutral",candri recommends this product!,6 months - 1 year,Shopee,Emina,Daily Matte Loose Powder,4.5,244,"Pas awal di pake emang kaya matte gitu tapi kok lama2 malah kadang bikin kulit kusam. emang natural sih kaya gak pake bedak gitu. Sayang bgt kalau gak di touch up lagi kulitku malah jadi kusam, padahal udah suka sama ni bedak karna ringan bgt dan gak kelihatan kalau pak ... "
Tariafd, 18 and Under,"Normal, Medium, Neutral",Tariafd recommends this product!,1 month - 3 months,Traditional market,Cetaphil,Gentle Skin Cleanser,4.1,12340,"Akhirnya setelah sekian lama, nemu juga face wash yang cocok banget di aku yang kulitnya normal-kering. Facewash ini bikin kulit aku jadi lembab lagi. Terus face wash ini gak bikin kulit aku iritasi lagi, soalnya selama ini pake face wash apapun selalu iritasi dan beruj ... "
nblsalsabilla, 19 - 24,"Combination, Medium Light, Warm",nblsalsabilla recommends this product!,3 months - 6 months,Traditional market,Acnes,Foaming Wash,3.6,376,"awalnya beli iseng soalnya mukaku lagi bermasalah gara-gara alergi gitu. untuk harganya si ga terlalu mahal juga ga terlalu murah. praktis banget dan higienis karena tempatnya pencetan gitu. selama ini ga ngerasa ketarik si, fine fine aja di wajah aku. cara cuci muka ju ... "
adelgina_, 19 - 24,"Oily, Dark, Warm",adelgina_ recommends this product!,Less than 1 week,Shopee,Eileen Grace,Give Me Back Body Acne Spray,2,1,"ini punya kakakku dan dia ga cocok gitu. cuma personally aku mikir body spray kaya gini enak makenya(?) ga ribet, walopun mungkin bakal susah buat yang tangannya sulit menggapai ke belakang sih... aku jual ini di shopee yang minat bisa cek shopee.co.id/adel.gina ya teri ... "
SathyaTika, 25 - 29,"Combination, Medium, Neutral",SathyaTika recommends this product!,Less than 1 week,Sociolla,Carasun,Solar Smart UV Protector SPF45 PA++++,4.9,8,"Ini texture nya gemes cloudlike sprti pasta putih gitu ringann bgt dan no whitecase , pas di olesin diwajah tu ademm bgt trus cpt bgt meresapnya kemudian berasa seperti mengusap air kewajah gtu jd texture cream padat yg bnran meleleh dikulit jd kyk air seger aja gtu jd  ... "
nblsalsabilla, 19 - 24,"Combination, Medium Light, Warm",nblsalsabilla recommends this product!,1 month - 3 months,Traditional market,Purbasari,Pore Perfecting BB Cushion,4.6,93,"beli gara-gara keracunan beauty vlogger. pas aku coba ditangan tuh bagus banget nyatu ke kulitku, tapi pas aku apply di wajah jadinya coklat padahal ini uda warna yg paling terang 😭 padahal hasilnya bagus matte tp glowing dikulit aku yg rada berminyak tp warnanya 😭😭� ... "
binomialnomenklatur, 25 - 29,"Oily, Medium Light, Neutral",binomialnomenklatur recommends this product!,1 month - 3 months,Shopee,Vaseline,Healthy White Sun + Pollution Protection SPF 30 PA+++ Serum,4.4,99,"Beli ini awal tahun lalu, dan niat mau ngabisin semua body care yg udah numpuk. Serum pertama dari Vaseline yg gue pake, krn dulu gue bucinnya Nivea Serum SPF 30/50 (?) yg sudah musnah. Tekstur wise ini lebih lengket dari Nivea Serum TAPI cocok banget untuk kondisi kuli ... "
Ayuanggraeni11, 19 - 24,"Normal, Medium Light, Neutral",Ayuanggraeni11 recommends this product!,Less than 1 week,Sample,L'Oreal Paris,UV Defender Bright & Clear,4.9,419,"L’Oreal Paris UV Defender – Matte & Fresh UV Serum Protector dilengkapi dengan kandungan airlicium cocok buat muka kusam & jerawatan kaya aku , pertama kali aku pake aku merasakan kulit tampak lebih cerah setelah pemakain . Kemasan nya juga kecil mudah dibawa ke ... "
nblsalsabilla, 19 - 24,"Combination, Medium Light, Warm",nblsalsabilla doesn't recommend this product!,3 months - 6 months,Traditional market,Hada Labo,Shirojyun Ultimate Whitening Face Wash,3.8,1927,"beli ini karena emang tertarik sama produk hada labo sebagus itu, kupikir cocok2 aja tp ternyata enggaaaaa. di aku ketarik gitu dan kering. trus sempet break out pake ini, akhirnya kukasih ke temen drpd mubazir. kirain bagus kyk tonernya ternyata di aku ga cocok"
nblsalsabilla, 19 - 24,"Combination, Medium Light, Warm",nblsalsabilla recommends this product!,More than 1 year,Traditional market,Kojie San,Sabun Kojie san,4.1,184,"sebelum rame di Instagram & tiktok aku uda pake ini dari jaman kuliah, kupotong kecil-kecil gitu biar praktis dan ga boros hehehehe. untuk khasiatnya emang gabisa instan, aku pake uda taunan jadi emang kulitnya skrg tonenya naik jauh hehe. pokonya rutin aja pake ini ... "
Zulfaa_Kh, 19 - 24,"Combination, Medium, Neutral",Zulfaa_Kh recommends this product!,Less than 1 week,Gift,Hada Labo,Shirojyun Ultimate Whitening Lotion,3.8,1232,"Untuk melembapkan/menghidrasi bagus-bagus aja. Di kulitku efeknya cuma itu aja, kalau mencerahkan ga begitu keliatan sih. Ga ada efek negatif kaya jerawat atau iritasi. Cocok buat pemula yang mau nyobain toner. Ini juga termasuk murah meskipun produknya agak susah ditem ... "
nblsalsabilla, 19 - 24,"Combination, Medium Light, Warm",nblsalsabilla recommends this product!,1 month - 3 months,Traditional market,Acnes,Oil Control Toner,3.9,345,"beli ini karena emg lagi bermasalah mukaku, tp buat wajahku ga terlalu ngaruh di bagian jerawatnya tp ga bikin break out, pas di apply ke muka rasanya ademmm banget, seger gitu 😁. untuk kontrol minyaknya juga ga kerasa di aku wkwk tp enak aja gitu dipakenya seger"
ganescintya, 19 - 24,"Combination, Light, Neutral",ganescintya recommends this product!,1 week - 1 month,Brand website,Trueve ,BHA & CICA Acne Serum,5,899,Jujurly aku rada kecewa sm reviewer di brand trueve ini.. awal kecewa ku dari keisengan ngecek profile reviewer yang trnyata hampir semua reviewer mereview brg yg sama dan semua varian trueve which is menurut aku pribadi jarang bgt org yg secara personal akan membeli pr ... 
debbieserafina15, 25 - 29,"Combination, Light, Cool",debbieserafina15 recommends this product!,More than 1 year,Beauty Studio,Studio Tropik,DreamSetter,4.6,355,"Setting spray terbaik dari seluruh lokal brand yang ada, apa lagi jaman pandemi begini, dimana"" panas dan harus pake masker terus, bikin makeup jauh lebi tahan lama dan look flawless juga, dan kalau pake bedak kebanyakan, semprotin ini langsung gak kelihatan cakey:)"
Heidista, 25 - 29,"Combination, Light, Warm",Heidista recommends this product!,More than 1 year,Naga Swalayan,Casablanca,Femme Body Mist Cologne,3.7,23,"Ini parfum udah ga tau berapa kali repurchase. Seenak itu wanginya, soft namun untuk ukuran body spray lumayan tahan lama padahal harganya terjangkau dan mudah ditemukan. Darj semua varian yang body spray, paling enak ya seri Femme yang botol ungu ini, ini, wanginya kay ... "
fzndrtk, 19 - 24,"Combination, Medium Light, Warm",fzndrtk recommends this product!,Less than 1 week,FD Try and Review,Pucelle,Audacity Le Parfum,4.7,17,"G for Glimmery, aromanya cukup manis fresh yang tidak bikin pusing kalau kebanyakan. Hidden gems banget pas pertama kali coba, ada aroma buahnya yang enak banget bikin kesan segar kebadan. Untuk ketahanannya, menurutku ini cukup tahan lama kalau ketubuh tapi kalau ke pa ... "
syeif322, 25 - 29,"Combination, Medium Dark, Neutral",syeif322 recommends this product!,1 month - 3 months,Lazada,Innisfree,Aloe Revital Soothing Gel,4.4,951,"Beli ini saat soothing gel sebelumnya dari merk lain habis, iseng iseng mau nyoba ini karena dari segi fungsi 98% mirip dengan shooting gel yg biasa aku pakai, dan juga tergiur karena katanya ini non alkohol/alcohor-free. Tekstrunya seperti soothing gel pada umumnya, ge ... "
binomialnomenklatur, 25 - 29,"Oily, Medium Light, Neutral",binomialnomenklatur recommends this product!,1 month - 3 months,Shopee,Wardah,Hydra Rose Gel Foam Cleanser,4.4,203,"Sering liat di IGnya Puche sama Amal tapi beli beberapa bulan kemudian krn fw gue akhirnya abis. Untuk wangi sih slightly, warna bening, busa bukan foam lebay. Gue pake ini tiap malem pake kleura dan yg ga gue suka dia ninggalin rasa licin, selain itu sih ga ada. Plusny ... "
Nikken22, 30 - 34,"Combination, Medium, Neutral",Nikken22 doesn't recommend this product!,1 week - 1 month,Official Brand Store,Innisfree,No Sebum Mineral Powder,4.3,1512,"Di setiap best seller product, bakal ada perbandingan di mana 998 orang merasa cocok dan orang sisanya 2 harus mengakui tidak cocok. Untuk no sebum mineral powder ini, aku termasuk satu dari dua orang itu. Iyap. Sayang banget kulitku lagi susah dipahami belakangan ini.  ... "
fazha30, 19 - 24,"Oily, Medium Light, Neutral",fazha30 recommends this product!,1 month - 3 months,Shopee,Somethinc,Game Changer Tripeptide Eye Concentrate Gel,4.3,361,"produk ini merupakan eye treatment kedua aku, aku baru pakai 2 bulan lebih, tapi aku udah seneng banget sama dia 😍 terkstur produk ini gel yang berwarna agak kekuningan atau kecoklatan gitu, dia enak banget diaplikasikan menggunakan aplikatornya, aplikatornya dingin wa ... "
nblsalsabilla, 19 - 24,"Combination, Medium Light, Warm",nblsalsabilla doesn't recommend this product!,3 months - 6 months,Traditional market,Himalaya,Purifying Neem Scrub,3.7,691,"untuk harganya termasuk murah menurutku. tapi waktu aku coba kok kayak gak ngefek apa apa ya ke wajahku, kotorannya juga ga banyak yg ke angkat hmmm. trus muka jadi rada merah-merah gitu untung ga break out. aromanya juga kuat bgt. tapi aku ga ngerasa ada efek perubahan ... "
nblsalsabilla, 19 - 24,"Combination, Medium Light, Warm",nblsalsabilla recommends this product!,3 months - 6 months,Traditional market,Emina,Cheeklit Cream Blush,4,3385,"lucuuuu banget warna & packaging nya hihihihi bisa dibawa kemana-mana praktis kecil gitu. dipake dikittt doang uda bisa jadi sepipi, warnanya juga pekat walaupun kita ambil dikit, tp meskipun gitu ga keliatan kek mau ngelenong, natural bgt jadinya hihihi gemes pokon ... "
candri, 19 - 24,"Combination, Medium Dark, Neutral",candri recommends this product!,1 month - 3 months,Whatsapp,Jafra,Royal Jelly Boost Purifying Gel Cleanser,4.1,44,Produk ini walaupun ada butiran scrubnya tapi gak bikin kering. Awalnya agak takut karna kulit wajah ku yg acne prone tapi pas tak coba gak masalah sama scrubnya. Habis cuci muka malah jadi lembab. Sementara masih pake sih soalnya enak aja kalau cuci muka gak bikin keri ... 
khafmaa, 19 - 24,"Oily, Medium, Warm",khafmaa recommends this product!,1 month - 3 months,Shopee,Salsa Cosmetic,Lip Glow Serum,4.7,27,"sumpah aku suka banget , teksturnya ringan cocok banget buat bibir ak. ga bikin bibir jadi kering. dan warnanya pun ga terlalu strong jadi bikin bibir aku berwarna pink natural. bakal repuchase lagi sih. memang ga bikin bibir pink permanen. tapi kalo dipake rutin ga bik ... "
Zulfaa_Kh, 19 - 24,"Combination, Medium, Neutral",Zulfaa_Kh doesn't recommend this product!,1 month - 3 months,Tokopedia,Mineral Botanica,Whitening Plus Complex Toner,3.9,44,"Hasil di kulitku sebenernya ada efek mencerahkannya. Tapi sayangnya kurang menghidrasi. Wanginya juga kuat banget, wangi alkohol + parfum jadi satu. Kandungannya bagus, sayangnya masih ada alkohol dan parfum. Mau dilayer pun takut kulit kenapa-kenapa jadi aku pake 1 lay ... "
day6haha, 18 and Under,"Normal, Medium Light, Neutral",day6haha recommends this product!,3 months - 6 months,Shopee,Scarlett,Brightening Shower Scrub,4.2,572,"Bagus. ada butiran scrubnya, scrubnya. Scrubnya ga kasar sama sekali jadi kulit ga sakit. Wanginya enak bangett kayak parfum gitu, jadi ga perlu pake parfum lagi. Bikin kulit cerahan juga. Harganya juga ga terlalu mahal, jadi worth it menurutku."
khanifah, 30 - 34,"Oily, Medium Dark, Neutral",khanifah recommends this product!,Less than 1 week,Facebook,L'Oreal Paris,UV Defender Bright & Clear,4.9,418,Pertama liat kemasannya tu lucu imut. Bisa di bawa kemana mana.muka saya tu cenderung ke berminyak setelah mencoba ini jadi baru di aplikasiin tu langsung kelihatan berkilauan antara berminyak dan glowing
rabbittu, 25 - 29,"Combination, Medium Light, Warm",rabbittu recommends this product!,6 months - 1 year,FD Try and Review,Sariayu,Acne Care Lotion,3.6,123,"first of all, ini bukan lotion karna benar2 cair. top buat ngempesin jerawat. kalo jerawat yg udah mateng gt skitar 3 hari, kalo calon2 jerawat semalem udh terhempas. pas dipake ada rasa dingin2 clekit2 gt, apalagi kalo di wajah ada luka bekas exfoliating pasti berasa b ... "
Auliaayum,19 - 24,,Auliaayum recommends this product!,1 month - 3 months,Shopee,Runaskin,Tamanu All Day Moisturizer,4.6,5,"Mosturizer paling cocok di aku. Kulitku brtekstur, grgr salah skincare, & nemu ini buat perbaikin skin barrier, trnyata works on me juga sebagai oil control di T-zone area. Worth to buy. Harganya murah juga"
Yoshitairmaa, 19 - 24,"Combination, Medium, Warm",Yoshitairmaa recommends this product!,More than 1 year,Official Brand Store,Miniso,Sunrise,4,7,"Baunya seger gitu, ringan, cepet banget ilangnyaa tapi cuma 2 jam aja harus di reapply kalau emang mau keciuman yang seger gitu, belinya pas ada diskon di miniso, paling enak di antara varian yang lain gitu, kurang ngerti sih base nya apa top nya apa tapi bau seger aja  ... "
siskaanh, 25 - 29,"Combination, Medium, Warm",siskaanh recommends this product!,1 month - 3 months,Alfamart,Pond's,Vitamin Micellar Water,4.6,3760,Produk ini sangat rekomen untuk membersihkan makeup. Aku sekarang lagi rutin pakai produk micellar water brightening rose dari ponds. Karena sekali usap makeup di wajah bisa mudah terhapus tanpa ada sisa makeup. 
annisaasondakh, 25 - 29,"Combination, Medium Light, Cool",annisaasondakh recommends this product!,1 month - 3 months,SOGO,BVLGARI,Jasmin Noir,4.2,46,"I enjoy the scent of jasmine with the subtle kick of licorice that is in this scent. It lasts for several hours on me. In my opinion, the scent is inoffensive (haha you know what i mean lah). Here's what I like about it: nice, fresh, summery opening note of gardenia, fo ... "
candri, 19 - 24,"Combination, Medium Dark, Neutral",candri recommends this product!,More than 1 year,Beauty Studio,Wardah,Long Lasting Lipstick,3.6,33,Sebenarnya suka sama warnanya tapi lipstiknya transfer jadi cepet hilangnya gak tahan lama. Dan sekali jatuh langsung patah. Gak begitu matte kalau di pake tapi pas aja kalau di bawa kemana mana gak makan tempat
debbieserafina15, 25 - 29,"Combination, Light, Cool",debbieserafina15 recommends this product!,3 months - 6 months,Shopee,Makarizo Professional,Texture Experience Creambath Strawberry Yoghurt,4.3,178,"Buat yang punya rambut kusam dan kering, boleh banget cobain produk ini. Wanginya enak banget, at the same time melembutkan batang rambut dan bikin rambut jadi lebih sehat setelah beberapa kali pemakaian. Pake nya seminggu sekali cukup, kalau niat ditutup pake handuk pa ... "
buttersalmon, 25 - 29,"Oily, Medium Light, Cool",buttersalmon recommends this product!,1 month - 3 months,Shopee,Mustika Ratu,Minyak Cem-Ceman,4,438,"aku pakai hair oil ini sepaket sama shampoo bayam dan tonic penyubur rambutnya mustika ratu. minyak ini aku pakai di scalp, digosok sambil pijet2 dikit, sama olesin di batang rambut. efeknya lumayan sih bikin rambut lembut setelah keramas dan dipakai dengan tonic cukup  ... "
Nikenoctaresha, 19 - 24,"Normal, Medium, Neutral",Nikenoctaresha recommends this product!,Less than 1 week,FD Try and Review,Citra,Cocoa Light Body Lotion,4.8,19,"ngga pernah suka wangi yang berbau cocoa atau manis-manis gitu.. tapi kenapa citra ngeluarin produk ini, wanginya bener-bener calming banget dan melembapkan kulit.. wanginya gak bikin pusing. suka!!🤎 untuk mencerahkan maybe, masi dicoba terus. tapi next bisa repurchase ... "
